item_no,title,type,data_mean,scenario,graph_text_1,graph_text_2,chance_start,severity_start,question_end,if_phrase,x_label,graph_cat,chance_cat,severity_cat,condition,img,point1,point2,point3
1,Airplane Luggage,E,28,You are packing an item in your luggage for an airplane journey.,The graph below shows the chance,of damage to the item for three randomly selected airlines.,What is the chance,What is the severity of consequences if,your item is damaged?,If you fly with one of these airlines...,Airline,The graph below shows the chance of damage to the item for three randomly selected airlines.,What is the chance your item is damaged?,What is the severity of consequences if your item is damaged?,hi,graphs/E1_hi.png,27.836981754742308,28.27623092770957,27.662528078022085
11,Recovering From Injury,E,29,You are starting to exercise again after recovering from injury.,The graph below shows the chance,of your injury re-occuring for three randomly selected types of exercise.,What is the chance,What is the severity of consequences if,your injury re-occurs?,If you take up one of these types of exercise...,Exercise,The graph below shows the chance of your injury re-occuring for three randomly selected types of exercise.,What is the chance your injury re-occurs?,What is the severity of consequences if your injury re-occurs?,lo,graphs/E11_lo.png,29.11761035580685,28.834632064186653,28.84418808801062
2,Flooding,E,30,You are going on a vacation to a remote island.,The graph below shows the chance,of flooding at three randomly selected resorts on the island.,What is the chance,What is the severity of consequences if,your resort is flooded?,If you take a vacation at one of these resorts...,Resort,The graph below shows the chance of flooding at three randomly selected resorts on the island.,What is the chance your resort is flooded?,What is the severity of consequences if your resort is flooded?,hi,graphs/E2_hi.png,30.090261450909836,30.392367020051132,29.32341771310641
32,Cosmetic Surgery,E,31,You are undergoing voluntary surgery for a cosmetic issue.,The graph below shows the chance,of complications for three randomly selected clinics.,What is the chance,What is the severity of consequences if,you experience complications?,If you go to one of these clinics...,Clinic,The graph below shows the chance of complications for three randomly selected clinics.,What is the chance you experience complications?,What is the severity of consequences if you experience complications?,lo,graphs/E32_lo.png,31.237055698252636,30.722527617413558,30.995021353423482
8,Investment,E,33,You are investing a month's wages to buy shares in a company.,The graph below shows the chance,of making a loss on your investment after one year for three randomly selected companies.,What is the chance,What is the severity of consequences if,you make a loss on your investment?,If you invest in one of these companies...,Company,The graph below shows the chance of making a loss on your investment after one year for three randomly selected companies.,What is the chance you make a loss on your investment?,What is the severity of consequences if you make a loss on your investment?,hi,graphs/E8_hi.png,32.9435539392225,32.80909031361815,32.95415412030926
31,Sprinkler System,E,35,You are selecting a sprinkler system for your house in case of a fire.,The graph below shows the chance,of the sprinkler system not working effectively for three randomly selected sprinkler systems.,What is the chance,What is the severity of consequences if,the sprinkler system does not work effectively?,If you chose one of these sprinkler systems...,System,The graph below shows the chance of the sprinkler system not working effectively for three randomly selected sprinkler systems.,What is the chance the sprinkler system does not work effectively?,What is the severity of consequences if the sprinkler system does not work effectively?,lo,graphs/E31_lo.png,34.59057670053257,34.72807619065183,35.5104452437217
4,Traffic Jams,E,36,You are driving to a wedding next month.,The graph below shows the chance,of being caught in a traffic jam for three randomly selected routes to the venue.,What is the chance,What is the severity of consequences if,you get caught in traffic?,If you travel on one these routes...,Route,The graph below shows the chance of being caught in a traffic jam for three randomly selected routes to the venue.,What is the chance you get caught in traffic?,What is the severity of consequences if you get caught in traffic?,hi,graphs/E4_hi.png,35.826708022161036,36.313817959201415,36.321891571633294
7,Flight Delays,E,37,You are booking a flight.,The graph below shows the chance,of delays for three randomly selected airlines going to your destination.,What is the chance,What is the severity of consequences if,your flight is delayed?,If you fly with one of these airlines...,Airline,The graph below shows the chance of delays for three randomly selected airlines going to your destination.,What is the chance your flight is delayed?,What is the severity of consequences if your flight is delayed?,lo,graphs/E7_lo.png,37.00825749483437,37.005544558750934,36.51012990589
35,Pain Relief,E,37,You need to take strong pain relief medication.,The graph below shows the chance,of developing an addiction for three randomly selected pain relief medicines.,What is the chance,What is the severity of consequences if,you develop an addiction?,If you take one of these pain-relief medicines...,Medication,The graph below shows the chance of developing an addiction for three randomly selected pain relief medicines.,What is the chance you develop an addiction?,What is the severity of consequences if you develop an addiction?,hi,graphs/E35_hi.png,36.777464604991856,36.76701737835545,36.94776846585834
3,Train Delays,E,39,You are catching a train to an important job interview.,The graph below shows the chance,of significant delays for three randomly selected rail routes to your destination.,What is the chance,What is the severity of consequences if,your train is delayed?,If you travel on one of these rail routes...,Route,The graph below shows the chance of significant delays for three randomly selected rail routes to your destination.,What is the chance your train is delayed?,What is the severity of consequences if your train is delayed?,lo,graphs/E3_lo.png,38.60701341180087,39.027369452229834,38.41371983133943
14,Theft,E,41,You are taking a vacation to a foreign city.,The graph below shows the chance,of experiencing an attempt to steal personal belongings for three randomly selected districts.,What is the chance,What is the severity of consequences if,you experience an attempt to steal your personal belongings?,If you stay in one of these districts...,District,The graph below shows the chance of experiencing an attempt to steal personal belongings for three randomly selected districts.,What is the chance you experience an attempt to steal your personal belongings?,What is the severity of consequences if you experience an attempt to steal your personal belongings?,hi,graphs/E14_hi.png,41.082091116418944,41.581138268348795,40.799557209019895
24,Slot Machines,E,42,You are gambling one week's salary on a casino slot machine.,The graph below shows the chance,of losing your week's wages for three randomly selected machines at the casino.,What is the chance,What is the severity of consequences if,you lose your week's wages?,If you use one of these slot machines...,Slot Machine,The graph below shows the chance of losing your week's wages for three randomly selected machines at the casino.,What is the chance you lose your week's wages?,What is the severity of consequences if you lose your week's wages?,lo,graphs/E24_lo.png,41.30746469070281,42.01916159051095,41.618484918819014
20,Toxic Chemicals in Pesticide,E,43,You are selecting a pesticide to spray on your crops.,The graph below shows the chance,of exposure to unsafe levels of toxic chemicals from three randomly selected brands of pesticide.,What is the chance,What is the severity of consequences if,you are exposed to unsafe levels of toxic chemicals?,If you use one of these pesticides brands...,Pesticide,The graph below shows the chance of exposure to unsafe levels of toxic chemicals from three randomly selected brands of pesticide.,What is the chance you are exposed to unsafe levels of toxic chemicals?,What is the severity of consequences if you are exposed to unsafe levels of toxic chemicals?,hi,graphs/E20_hi.png,42.862824809602245,42.80004728809315,42.572030034433396
22,Swimming in Open Water,E,64,You are going swimming in open water.,The graph below shows the chance,of very rough waves for three randomly selected beaches.,What is the chance,What is the severity of consequences if,you experience very rough waves?,If you swim on one of these beaches...,Beach,The graph below shows the chance of very rough waves for three randomly selected beaches.,What is the chance you experience very rough waves?,What is the severity of consequences if you experience very rough waves?,lo,graphs/E22_lo.png,64.65535043891245,63.562073459293906,64.0997618712648
15,Air Pollution,E,65,You are moving to a new city.,The graph below shows the chance,of air pollution reaching unhealthy levels in the next 5 years for three randomly selected areas in the city.,What is the chance,What is the severity of consequences if,air pollution reaches unhealthy levels?,If you move to one of these areas...,Area,The graph below shows the chance of air pollution reaching unhealthy levels in the next 5 years for three randomly selected areas in the city.,What is the chance air pollution reaches unhealthy levels?,What is the severity of consequences if air pollution reaches unhealthy levels?,hi,graphs/E15_hi.png,65.31618763545303,65.28618934876005,65.27023782903066
9,Bus Delays,E,66,You are taking a bus to work.,The graph below shows the chance,of being late to work for three randomly selected bus operators.,What is the chance,What is the severity of consequences if,you are late for work?,If you take one of these buses...,Bus Operator,The graph below shows the chance of being late to work for three randomly selected bus operators.,What is the chance you are late for work?,What is the severity of consequences if you are late for work?,lo,graphs/E9_lo.png,65.02082579859147,66.62105414844842,66.12363046341983
